episode,locations
GAG260,"[('Hameln', 9.3561569, 52.1039941), ('Deutschlands', 13.667225793245475, 54.559670350000005)]"
GAG259,"[('Huelva', -6.9484945, 37.2575874)]"
GAG258,"[('USA', -100.445882, 39.7837304)]"
GAG257,"[('Südamerika', -61.0006565, -21.0002179), ('Berlin', 13.3888599, 52.5170365)]"
GAG256,"[('Schweiz', 8.2319736, 46.7985624), ('der Schweiz', 10.1776692, 50.4314453)]"
GAG255,"[('Japan', 139.2394179, 36.5748441)]"
GAG254,"[('Brasilien', -53.2, -10.3333333), ('Hevea', 20.6678001, -0.1717871), ('London', -0.1276474, 51.5073219)]"
GAG253,"[('Europa', 10.0, 51.0), ('Spanien', -4.8379791, 39.3260685), ('Portugal', -8.1353519, 39.6621648), ('England', -1.2649062, 52.5310214)]"
GAG252,"[('USA', -100.445882, 39.7837304)]"
GAG251,"[('Wien', 16.3725042, 48.2083537), ('Europa', 10.0, 51.0)]"
GAG249,"[('Mekka', 39.826869, 21.420847)]"
GAG248,"[('Erde', 5.4980051, 51.6034376), ('Indien', 78.6677428, 22.3511148)]"
GAG247,"[('Geschehens', 10.5677982, 47.9952098)]"
GAG246,"[('Frankreich', 1.8883335, 46.603354), ('Louisiana', -92.007126, 30.8703881)]"
GAG245,"[('Nord-', 3.0883523694464854, 50.52896715), ('Südkorea', 127.6961188, 36.638392)]"
GAG244,"[('Italien', 12.674297, 42.6384261)]"
GAG243,"[('Irland', -7.9794599, 52.865196)]"
GAG242,"[('Stockholm', 18.0710935, 59.3251172)]"
GAG241,"[('Osnabrück', 8.047635, 52.2719595), ('Münster', 7.6251879, 51.9625101), ('Prag', 14.4212535, 50.0874654), ('Stadt', 8.2146017, 53.1389753), ('Prag', 14.4212535, 50.0874654)]"
GAG240,"[('Nancy', 6.1834097, 48.6937223)]"
GAG239,"[('Zabern', 7.3625953, 48.7419909), ('Elsass', 7.4074699518555, 48.24917645)]"
GAG238,"[('Mäusen', -76.995521, 38.48065)]"
GAG237,"[('Paris', 2.3200410217200766, 48.8588897), ('Landes', -0.6433872354467377, 44.00996945)]"
GAG236,"[('Atlantic City.', -74.4229351, 39.3642852)]"
GAG235,"[('Schweiz', 8.2319736, 46.7985624)]"
GAG234,"[('Russland', 97.7453061, 64.6863136), ('Russland', 97.7453061, 64.6863136), ('Frankreich', 1.8883335, 46.603354), ('Krasnaja', 25.25886, 53.63148)]"
GAG233,"[('San Francisco', -122.419906, 37.7790262)]"
GAG231,"[('USA', -100.445882, 39.7837304)]"
GAG230,"[('Tansania', 35.7878438, -6.5247123), ('Berlin', 13.3888599, 52.5170365)]"
GAG229,"[('Ungarns', 10.70708, 59.9158083), ('Báthory', 17.7617687, 48.719068)]"
GAG228,"[('Berlin', 13.3888599, 52.5170365), ('Florentiner', 11.5826563, 48.161033), ('Berliner Blau', 9.75002, 52.4285637)]"
GAG227,"[('Baltimore', -76.610759, 39.2908816)]"
GAG226,"[('See', 10.4666667, 47.0833333), ('Java', 109.6139109880134, -7.327969400000001), ('Australien', 134.755, -24.7761086)]"
GAG225,"[('Frankreich', 1.8883335, 46.603354)]"
GAG224,"[('Spanien', -4.8379791, 39.3260685), ('Amerikas', 21.03560377182088, 56.1444738), ('Atlantik', 2.223095, 6.540829)]"
GAG223,"[('Japan', 139.2394179, 36.5748441)]"
GAG221,"[('Brasilien', -53.2, -10.3333333), ('Brasiliens', 18.0473911, 59.3315769)]"
GAG220,"[('New York', -74.0060152, 40.7127281)]"
GAG219,"[('Deutschland', 10.4478313, 51.1638175)]"
GAG218,"[('Florenz', 11.2555757, 43.7698712), ('Medici.', 14.2263427, 41.2102717), ('Medici', 14.2263427, 41.2102717), ('Florenz', 11.2555757, 43.7698712), ('Italien', 12.674297, 42.6384261)]"
GAG217,"[('Wien', 16.3725042, 48.2083537)]"
GAG216,"[('St. Helena', -5.7129442, -15.9694573), ('Frankreich', 1.8883335, 46.603354), ('Rom', 12.4829321, 41.8933203), ('Europa', 10.0, 51.0), ('Wien', 16.3725042, 48.2083537), ('Kapuzinergruft', 16.3701652, 48.2057727), ('Wien.', 16.3725042, 48.2083537)]"
GAG214,"[('USA', -100.445882, 39.7837304), ('Washington', -77.0365427, 38.8950368), ('Wien', 16.3725042, 48.2083537)]"
GAG213,"[('Schottland', -4.1140518, 56.7861112)]"
GAG211,"[('Geschehens', 10.5677982, 47.9952098)]"
GAG210,"[('Niederlande', 5.6343227, 52.2434979), ('Niederlande', 5.6343227, 52.2434979), ('Nazi-Deutschland', 11.1126843, 49.4339695)]"
GAG209,"[('Italien', 12.674297, 42.6384261)]"
GAG207,"[('USA', -100.445882, 39.7837304), ('Protagonist', 144.9687994, -37.8214252), ('dran', 57.4240144, 30.5475401)]"
GAG205,"[('Schloss Itter', 12.139489260110931, 47.47044245), ('Tirol', 11.5261028, 47.223193), ('Europa', 10.0, 51.0), ('Schloss', 12.0106659, 50.9298311), ('Frankreichs', 12.499366, 41.909354), ('US-Soldaten', 6.6643205, 53.5893585)]"
GAG204,"[('England', -1.2649062, 52.5310214), (""Regent's Park"", -0.1538974609013864, 51.530202450000004), ('England', -1.2649062, 52.5310214)]"
GAG203,"[('Südtiroler', 16.3737346, 48.1862627), ('Italien', 12.674297, 42.6384261), ('Portland', -122.674194, 45.5202471)]"
GAG202,"[('Österreich', 14.12456, 47.59397)]"
